"","protein1","protein2"
"36211","CD4","PD-L2"
"36375","CD4","EGFR"
"36446","CD4","B7-H3"
"36525","CD4","PD-L1"
"36574","CD4","CD34"
"36645","CD4","SMA"
"36689","CD4","CCR7"
"37029","CD4","CD38"
"37102","CD4","CD40"
"37224","CD4","GZMB"
"37231","CD4","HLA-DR"
"37554","CD4","CD127"
"37667","CD4","Tim-3"
"37735","CD4","pan-RAS"
"37871","CD4","LAG3"
"37909","CD4","CD45"
"37975","CD4","ICOS"
"37996","CD4","Her2"
"38035","CD4","FABP4"
"38132","CD4","IL-1b"
"38253","CD4","CD123"
"38467","CD4","VISTA"
"38507","CD4","CTLA4"
"38528","CD4","4-1BB"
"38565","CD4","IL-18"
"38647","CD4","EpCAM"
"38685","CD4","CD3"
"38721","CD4","CD68"
"38761","CD4","TCF7"
"38852","CD4","Vimentin"
"38902","CD4","CD31"
"38928","CD4","ICAM1"
"38975","CD4","IDO1"
"39017","CD4","GZMA"
"39190","CD4","FOXP3"
"39404","CD4","Fibronectin"
"39470","CD4","iNOS"
"39884","CD4","NF-kB p65"
"39956","CD4","CD15"
"39974","CD4","Ki-67"
"40038","CD4","p53"
"40080","CD4","CD27"
"196078","LAG3","IL-1b"
"196103","LAG3","CD123"
"196164","LAG3","CD4"
"196180","LAG3","4-1BB"
"196183","LAG3","CTLA4"
"196201","LAG3","VISTA"
"196231","LAG3","EpCAM"
"196245","LAG3","IL-18"
"196269","LAG3","TCF7"
"196283","LAG3","CD68"
"196293","LAG3","CD3"
"196300","LAG3","ICAM1"
"196305","LAG3","CD31"
"196325","LAG3","Vimentin"
"196367","LAG3","GZMA"
"196371","LAG3","IDO1"
"196394","LAG3","FOXP3"
"196465","LAG3","iNOS"
"196481","LAG3","Fibronectin"
"196617","LAG3","Ki-67"
"196623","LAG3","CD15"
"196645","LAG3","NF-kB p65"
"196661","LAG3","CD27"
"196674","LAG3","p53"
"196750","LAG3","PD-L2"
"196764","LAG3","B7-H3"
"196793","LAG3","EGFR"
"196821","LAG3","PD-L1"
"196848","LAG3","CCR7"
"196859","LAG3","SMA"
"196876","LAG3","CD34"
"196956","LAG3","CD38"
"197009","LAG3","CD40"
"197037","LAG3","HLA-DR"
"197052","LAG3","GZMB"
"197136","LAG3","Tim-3"
"197173","LAG3","CD127"
"197191","LAG3","pan-RAS"
"197222","LAG3","CD45"
"197265","LAG3","Her2"
"197286","LAG3","ICOS"
"328628","GZMB","FOXP3"
"328699","GZMB","Fibronectin"
"328719","GZMB","iNOS"
"328843","GZMB","p53"
"328893","GZMB","CD27"
"328919","GZMB","NF-kB p65"
"328937","GZMB","Ki-67"
"328957","GZMB","CD15"
"328991","GZMB","CD123"
"329036","GZMB","IL-1b"
"329068","GZMB","VISTA"
"329094","GZMB","4-1BB"
"329113","GZMB","CTLA4"
"329155","GZMB","CD4"
"329184","GZMB","CD68"
"329196","GZMB","CD3"
"329237","GZMB","TCF7"
"329258","GZMB","IL-18"
"329290","GZMB","EpCAM"
"329298","GZMB","GZMA"
"329322","GZMB","IDO1"
"329365","GZMB","Vimentin"
"329398","GZMB","ICAM1"
"329411","GZMB","CD31"
"329460","GZMB","HLA-DR"
"329484","GZMB","CD40"
"329681","GZMB","pan-RAS"
"329701","GZMB","CD127"
"329721","GZMB","Tim-3"
"329755","GZMB","ICOS"
"329796","GZMB","Her2"
"329844","GZMB","CD45"
"329859","GZMB","LAG3"
"329866","GZMB","PD-L2"
"330010","GZMB","PD-L1"
"330034","GZMB","EGFR"
"330063","GZMB","B7-H3"
"330165","GZMB","CD34"
"330186","GZMB","CCR7"
"330196","GZMB","SMA"
"330238","GZMB","CD38"
"625654","SMA","PD-L1"
"625775","SMA","EGFR"
"625851","SMA","PD-L2"
"626173","SMA","CCR7"
"626200","SMA","CD34"
"626385","SMA","HLA-DR"
"626439","SMA","GZMB"
"626513","SMA","Her2"
"626534","SMA","FABP4"
"626598","SMA","LAG3"
"626621","SMA","CD45"
"626680","SMA","pan-RAS"
"626760","SMA","Tim-3"
"626776","SMA","CD127"
"626807","SMA","CTLA4"
"626914","SMA","CD4"
"627039","SMA","IL-1b"
"627156","SMA","GZMA"
"627167","SMA","CD31"
"627199","SMA","ICAM1"
"627241","SMA","Vimentin"
"627297","SMA","CD3"
"627316","SMA","CD68"
"627332","SMA","EpCAM"
"627484","SMA","iNOS"
"627525","SMA","Fibronectin"
"627624","SMA","FOXP3"
"627765","SMA","p53"
"627778","SMA","CD15"
"627806","SMA","Ki-67"
"627823","SMA","NF-kB p65"
"688245","CD38","CD4"
"688270","CD38","VISTA"
"688288","CD38","4-1BB"
"688309","CD38","CTLA4"
"688331","CD38","IL-1b"
"688377","CD38","CD123"
"688419","CD38","ICAM1"
"688436","CD38","CD31"
"688448","CD38","GZMA"
"688467","CD38","IDO1"
"688504","CD38","IL-18"
"688520","CD38","EpCAM"
"688526","CD38","CD68"
"688533","CD38","CD3"
"688561","CD38","TCF7"
"688569","CD38","Fibronectin"
"688584","CD38","iNOS"
"688664","CD38","FOXP3"
"688728","CD38","NF-kB p65"
"688737","CD38","Ki-67"
"688754","CD38","CD15"
"688762","CD38","p53"
"688798","CD38","CD27"
"688897","CD38","EGFR"
"688917","CD38","B7-H3"
"688978","CD38","PD-L1"
"689030","CD38","PD-L2"
"689159","CD38","CD34"
"689172","CD38","CCR7"
"689321","CD38","CD40"
"689357","CD38","GZMB"
"689384","CD38","HLA-DR"
"689419","CD38","CD45"
"689431","CD38","LAG3"
"689445","CD38","ICOS"
"689485","CD38","Her2"
"689505","CD38","CD127"
"689519","CD38","Tim-3"
"689568","CD38","pan-RAS"
"1147203","4-1BB","GZMA"
"1147215","4-1BB","IDO1"
"1147218","4-1BB","CD38"
"1147246","4-1BB","ICAM1"
"1147258","4-1BB","CD31"
"1147266","4-1BB","CD68"
"1147271","4-1BB","CD3"
"1147300","4-1BB","CD34"
"1147303","4-1BB","IL-18"
"1147311","4-1BB","CCR7"
"1147319","4-1BB","EpCAM"
